Date,GV6_0025,IGN-GV6_0006
2021-09-06T05:59:43.000Z,27.5,
2021-09-06T06:09:43.000Z,27.5,
2021-09-06T06:19:43.000Z,27.6,
2021-09-06T06:29:43.000Z,27.6,
2021-09-06T06:39:43.000Z,27.7,
2021-09-06T06:49:43.000Z,27.7,
2021-09-06T06:59:43.000Z,27.7,
2021-09-06T07:09:43.000Z,27.7,
2021-09-06T07:19:43.000Z,27.7,
2021-09-06T07:29:43.000Z,27.9,
2021-09-06T07:39:43.000Z,28,
2021-09-06T07:49:43.000Z,28.1,
2021-09-06T07:59:43.000Z,28.2,
2021-09-06T08:09:43.000Z,28.4,
2021-09-06T08:19:43.000Z,28.5,
2021-09-06T08:29:43.000Z,28.6,
2021-09-06T08:39:43.000Z,28.6,
2021-09-06T08:49:43.000Z,28.7,
2021-09-06T08:59:43.000Z,28.9,
2021-09-06T09:09:43.000Z,29,
2021-09-06T09:19:43.000Z,29.1,
2021-09-06T09:29:43.000Z,29.2,
2021-09-06T09:39:43.000Z,29.3,
2021-09-06T09:49:43.000Z,29.3,
2021-09-06T09:59:43.000Z,29.5,
2021-09-06T10:09:43.000Z,29.6,
2021-09-06T10:19:43.000Z,29.7,
2021-09-06T10:29:43.000Z,29.9,
2021-09-06T10:39:43.000Z,30.1,
2021-09-06T10:49:43.000Z,30.3,
2021-09-06T10:59:43.000Z,30.5,
2021-09-06T11:09:43.000Z,30.7,
2021-09-06T11:19:43.000Z,30.9,
2021-09-06T11:29:43.000Z,31,
2021-09-06T11:39:43.000Z,31.2,
2021-09-06T11:49:43.000Z,31.4,
2021-09-06T11:59:43.000Z,31.5,
2021-09-06T12:09:43.000Z,31.7,
2021-09-06T12:19:43.000Z,31.9,
2021-09-06T12:29:43.000Z,32,
2021-09-06T12:39:43.000Z,32.1,
2021-09-06T12:49:43.000Z,32.2,
2021-09-06T12:59:43.000Z,32.2,
2021-09-06T13:09:43.000Z,32.3,
2021-09-06T13:19:43.000Z,32.3,
2021-09-06T13:29:43.000Z,32.3,
2021-09-06T13:39:43.000Z,32.4,
2021-09-06T13:49:43.000Z,32.4,
2021-09-06T13:59:43.000Z,32.5,
2021-09-06T14:09:43.000Z,32.4,
2021-09-06T14:19:43.000Z,32.5,
2021-09-06T14:29:43.000Z,32.5,
2021-09-06T14:39:43.000Z,32.6,
2021-09-06T14:49:43.000Z,32.6,
2021-09-06T14:59:43.000Z,32.6,
2021-09-06T15:09:43.000Z,32.6,
2021-09-06T15:19:43.000Z,32.5,
2021-09-06T15:29:43.000Z,32.5,
2021-09-06T15:39:43.000Z,32.5,
2021-09-06T15:49:43.000Z,32.4,
2021-09-06T15:59:43.000Z,32.4,
2021-09-06T16:09:43.000Z,32.3,
2021-09-06T16:19:43.000Z,32.2,
2021-09-06T16:29:43.000Z,32.2,
2021-09-06T16:39:43.000Z,32.1,
2021-09-06T16:49:43.000Z,32,
2021-09-06T16:59:43.000Z,31.9,
2021-09-06T17:09:43.000Z,31.8,
2021-09-06T17:19:43.000Z,31.7,
2021-09-06T17:29:43.000Z,31.7,
2021-09-06T17:39:43.000Z,31.6,
2021-09-06T17:49:43.000Z,31.6,
2021-09-06T17:59:43.000Z,31.5,
2021-09-06T18:09:43.000Z,31.4,
2021-09-06T18:19:43.000Z,31.3,
2021-09-06T18:29:43.000Z,31.3,
2021-09-06T18:39:43.000Z,31.2,
2021-09-06T18:49:43.000Z,31.2,
2021-09-06T18:59:43.000Z,31.1,
2021-09-06T19:09:43.000Z,31,
2021-09-06T19:19:43.000Z,31,
2021-09-06T19:29:43.000Z,31,
2021-09-06T19:39:43.000Z,31,
2021-09-06T19:49:43.000Z,30.9,
2021-09-06T19:59:43.000Z,30.9,
2021-09-06T20:09:43.000Z,30.8,
2021-09-06T20:19:43.000Z,30.7,
2021-09-06T20:29:43.000Z,30.8,
2021-09-06T20:39:43.000Z,30.7,
2021-09-06T20:49:43.000Z,30.7,
2021-09-06T20:59:43.000Z,30.6,
2021-09-06T21:09:43.000Z,30.6,
2021-09-06T21:19:43.000Z,30.6,
2021-09-06T21:29:43.000Z,30.5,
2021-09-06T21:39:43.000Z,30.5,
2021-09-06T21:49:43.000Z,30.4,
2021-09-06T21:59:43.000Z,30.4,
2021-09-06T22:09:43.000Z,30.3,
