serie,titre,tome,isbn,genre,nom_s,prenom_s,nom_d,prenom_d,editeur,date_parution
Les Rugbymen,On va leur mettre les poings sur les yeux !,1,2915309612,Humour,Béka,,Poupard,,Bamboo Éditions,2005-01-01
Les profs,Mise en examen,7,2915309701,Humour,Erroc,,Pica,,Bamboo Éditions,2005-03-09
Le Messager,L'archange,3,2915309914,Polar-Thriller,Richez, Hervé,Mig,,Bamboo Éditions,2005-09-28
Freaks' squeele,"Les chevaliers qui ne font plus ""Ni"" !",2,2916739629,Humour,Maudoux, Florent,Maudoux, Florent,Ankama,2009-03-19
Lucky Luke (2ème série - Editions Dargaud / Lucky Prod / Lucky Comics),Belle Starr,33,2940012776,Aventures Humoristiques,Fauche, Xavier,Morris,,Lucky productions,1995-08-01
Naüja,La Ballade de Raspa,1,2940199744,Aventures Fantastiques,Termens, Toni,Elias, Lee,Paquet,2002-05-01
Lincoln,Crâne de Bois,1,2940199892,Western,Jouvray, Olivier,Jouvray, Jérôme,Paquet,2002-12-01
Naüja,Les voix des ombres,2,2940199906,Aventures Fantastiques,Termens, Toni,Elias, Lee,Paquet,2002-12-01
Lincoln,Indian Tonic,2,2940334269,Western,Jouvray, Olivier,Jouvray, Jérôme,Paquet,2003-12-01
Lincoln,Playground,3,2940334501,Western,Jouvray, Olivier,Jouvray, Jérôme,Paquet,2004-10-05
Lanfeust des étoiles,Le sang des comètes,8,9782302003,Héroic - Fantasy,Arleston, Christophe,Tarquin, Didier,Soleil Productions,2008-11-26
Au guet !,Au guet !,,9782841723,Héroic - Fantasy,Pratchett, Terry,Higgins, Graham,L'Atalante,2007-09-07
Persepolis,Intégrale Persepolis,,9782844142,"Autobiographie, Autofiction",Satrapi, Marjane,Satrapi, Marjane,L'Association,2007-05-23
